Survived,Pclass,Gender,Age,Fare,Embarked,honorific,num_family,alone
1,1,0,10,120.0,2,1,3,0
0,3,0,20,34.375,2,1,4,0
1,2,0,20,18.75,2,3,5,0
0,1,1,60,263.0,2,2,5,0
0,2,1,30,10.5,2,2,0,1
1,2,0,40,26.25,2,3,2,0
0,3,1,10,9.5,2,2,0,1
0,3,1,20,7.775,2,2,1,0
1,2,0,20,13.0,2,4,0,1
1,3,1,20,8.1125,2,2,0,1
1,1,1,0,81.8583,2,0,2,0
1,2,0,10,19.5,2,1,1,0
1,1,1,30,26.55,2,2,0,1
1,3,0,0,19.2583,0,1,3,0
1,1,1,50,30.5,2,4,0,1
0,2,1,30,27.75,2,2,3,0
0,3,1,20,19.9667,2,2,1,0
0,1,1,20,27.75,0,2,0,1
1,1,1,40,89.1042,0,2,1,0
0,3,1,20,8.05,2,2,0,1
1,3,1,20,7.8958,0,2,0,1
0,1,1,60,26.55,2,2,0,1
1,1,0,20,51.8625,2,3,1,0
1,2,0,40,10.5,2,1,0,1
0,3,1,20,7.75,1,2,0,1
1,1,1,40,26.55,2,2,0,1
0,3,1,30,8.05,2,2,0,1
0,1,1,40,38.5,2,2,0,1
0,2,1,40,13.0,2,2,0,1
0,3,1,20,8.05,2,2,0,1
0,3,1,30,7.05,2,2,0,1
0,2,1,20,0.0,2,2,0,1
0,1,1,50,26.55,2,2,0,1
0,3,1,20,7.725,1,2,0,1
1,3,0,0,19.2583,0,1,3,0
0,3,1,20,7.25,2,2,0,1
0,3,1,30,8.6625,2,2,0,1
1,2,0,30,27.75,2,3,3,0
1,2,0,20,13.7917,0,3,0,1
0,3,0,20,9.8375,2,1,0,1
0,1,1,20,52.0,2,2,0,1
0,2,1,30,21.0,2,2,1,0
0,3,1,20,7.0458,2,2,1,0
0,3,1,20,7.5208,2,2,0,1
1,3,0,0,12.2875,2,1,1,0
0,3,1,0,46.9,2,0,7,0
0,2,1,20,0.0,2,2,0,1
0,3,1,40,8.05,2,2,0,1
1,3,0,60,9.5875,2,3,0,1
1,1,1,20,91.0792,0,2,1,0
0,3,0,20,25.4667,2,1,4,0
1,1,0,30,90.0,2,3,1,0
0,1,1,50,29.7,0,2,0,1
0,3,1,20,8.05,2,2,0,1
1,3,1,0,15.9,2,0,2,0
0,3,1,20,19.9667,2,2,1,0
0,3,1,20,7.25,2,2,0,1
0,1,1,50,30.5,2,2,0,1
0,1,1,70,49.5042,0,2,0,1
0,3,1,20,8.05,2,2,0,1
0,3,1,20,14.4583,0,2,0,1
1,1,0,50,78.2667,0,1,1,0
0,3,1,20,15.1,2,2,0,1
0,1,0,20,151.55,2,3,3,0
0,3,1,20,7.7958,2,2,0,1
0,3,1,10,8.6625,2,2,0,1
0,3,0,20,7.75,1,1,0,1
0,3,0,20,7.6292,1,1,0,1
0,3,0,30,9.5875,2,1,0,1
1,1,0,10,86.5,2,1,0,1
0,1,1,10,108.9,0,2,1,0
1,2,0,30,26.0,2,3,2,0
1,1,1,20,26.55,2,2,0,1
0,3,1,20,22.525,2,2,0,1
1,3,1,20,56.4958,2,2,0,1
1,3,1,20,7.75,1,2,0,1
0,3,1,20,8.05,2,2,0,1
1,1,1,30,26.2875,2,2,0,1
1,1,0,50,59.4,0,3,1,0
0,3,1,20,7.4958,2,2,0,1
0,1,1,40,34.0208,2,2,0,1
1,2,0,30,10.5,2,3,0,1
0,3,1,20,24.15,1,2,0,1
1,2,0,30,26.0,2,3,1,0
0,3,1,30,7.8958,2,2,0,1
1,1,0,20,93.5,2,1,0,1
0,3,1,20,7.8958,2,2,0,1
0,3,1,20,7.225,0,2,0,1
1,1,0,40,57.9792,0,3,1,0
0,3,1,20,7.2292,0,2,0,1
0,3,1,40,7.75,1,2,0,1
1,2,0,40,10.5,2,1,0,1
0,1,1,20,221.7792,2,2,0,1
0,3,1,30,7.925,2,2,0,1
0,2,1,20,11.5,2,2,3,0
1,2,0,0,26.0,2,1,2,0
0,3,1,20,7.2292,0,2,0,1
0,3,1,10,7.2292,0,2,2,0
1,3,0,20,22.3583,0,3,2,0
0,3,0,20,8.6625,2,1,0,1
1,2,0,0,26.25,2,1,2,0
0,1,1,40,26.55,2,4,0,1
1,1,0,20,106.425,0,1,0,1
0,3,1,20,14.5,2,2,0,1
1,1,0,20,49.5,0,1,2,0
1,1,0,30,71.0,2,1,2,0
0,3,0,0,31.275,2,1,6,0
0,3,0,10,31.275,2,1,6,0
1,2,1,30,26.0,2,2,1,0
0,1,1,40,106.425,0,2,1,0
0,1,1,60,26.0,2,2,0,1
1,2,0,10,26.0,2,3,1,0
1,2,1,20,13.8625,0,2,0,1
0,3,1,30,20.525,2,2,2,0
1,2,1,0,36.75,2,0,2,0
1,1,1,10,110.8833,0,2,2,0
0,2,1,20,26.0,2,2,0,1
0,3,1,20,7.8292,1,2,0,1
1,3,1,20,7.225,0,2,0,1
1,3,0,20,7.775,2,1,0,1
0,1,1,60,26.55,2,2,0,1
1,1,0,40,39.6,0,4,1,0
0,1,1,20,227.525,0,2,0,1
1,1,0,30,79.65,2,3,2,0
1,3,0,30,17.4,2,3,1,0
0,3,1,20,7.75,1,2,0,1
0,3,1,30,7.8958,2,2,0,1
0,2,1,20,13.5,2,2,0,1
0,3,1,20,8.05,2,2,0,1
0,3,0,20,8.05,2,1,0,1
0,3,1,20,24.15,2,2,2,0
0,3,1,10,7.8958,2,2,0,1
0,3,0,20,21.075,2,3,4,0
0,3,1,20,7.2292,0,2,0,1
1,3,1,30,7.8542,2,2,0,1
1,2,1,60,10.5,2,2,0,1
1,1,0,50,51.4792,2,3,2,0
1,1,1,30,26.3875,2,2,0,1
1,3,0,20,7.75,1,1,0,1
0,3,1,10,8.05,2,2,0,1
0,3,1,10,14.5,2,2,0,1
1,2,0,30,13.0,2,1,0,1
1,1,0,30,55.9,2,3,1,0
0,3,0,20,14.4583,0,3,1,0
1,3,1,30,7.925,2,2,0,1
1,2,0,20,30.0,2,1,2,0
1,1,0,30,110.8833,0,3,2,0
0,2,1,50,26.0,2,2,0,1
0,1,1,30,40.125,0,2,0,1
0,3,1,20,8.7125,0,2,0,1
1,1,0,10,79.65,2,1,2,0
0,2,1,40,15.0,2,2,0,1
1,1,1,50,79.2,0,2,2,0
0,3,1,20,8.05,2,2,0,1
0,3,1,20,8.05,2,2,0,1
0,3,1,30,7.125,2,2,0,1
1,1,0,50,78.2667,0,3,1,0
0,3,1,40,7.25,2,2,0,1
0,3,0,20,7.75,1,1,2,0
0,2,1,30,26.0,2,2,1,0
0,3,1,30,24.15,2,2,2,0
1,2,0,20,33.0,2,1,0,1
0,3,1,40,0.0,2,2,0,1
0,3,1,20,7.225,0,2,0,1
1,1,1,40,56.9292,0,4,1,0
1,2,0,20,27.0,2,3,3,0
0,3,1,20,7.8958,2,2,0,1
0,1,1,20,42.4,2,2,0,1
0,3,1,40,8.05,2,2,0,1
1,1,1,30,26.55,0,2,0,1
0,3,1,30,15.55,2,2,1,0
0,3,1,20,7.8958,2,2,0,1
1,1,1,20,30.5,2,2,0,1
1,2,0,20,41.5792,0,3,3,0
1,1,0,30,153.4625,2,1,0,1
0,3,0,30,31.275,2,3,6,0
0,3,1,20,7.05,2,2,0,1
1,3,0,20,15.5,1,1,1,0
0,3,1,20,7.75,1,2,0,1
0,3,1,30,8.05,2,2,0,1
1,2,0,20,65.0,2,1,3,0
0,3,1,30,14.4,2,2,2,0
0,3,0,20,16.1,2,3,1,0
1,2,0,0,39.0,2,1,3,0
0,2,1,20,10.5,2,2,0,1
0,3,1,20,14.4542,0,2,1,0
1,1,1,40,52.5542,2,2,1,0
1,3,1,10,15.7417,0,2,2,0
0,3,1,20,7.8542,2,2,0,1
0,3,1,20,16.1,2,2,0,1
0,1,1,60,32.3208,2,2,0,1
0,2,1,50,12.35,1,4,0,1
1,1,0,20,77.9583,2,1,0,1
0,3,1,20,7.8958,2,2,0,1
0,3,1,20,7.7333,1,2,0,1
1,1,1,70,30.0,2,2,0,1
0,3,1,50,7.0542,2,2,0,1
1,1,1,30,30.5,0,4,0,1
0,1,1,20,0.0,2,2,0,1
0,3,0,0,27.9,2,1,5,0
1,2,0,20,13.0,2,1,0,1
0,3,1,30,7.925,2,2,0,1
0,2,1,30,26.25,2,2,2,0
0,3,0,40,39.6875,2,3,5,0
0,3,1,20,16.1,2,2,1,0
0,3,1,10,7.8542,2,2,0,1
1,1,0,20,69.3,0,4,0,1
0,3,0,0,27.9,2,1,5,0
1,3,1,20,56.4958,2,2,0,1
1,3,0,0,19.2583,0,1,3,0
1,1,1,40,76.7292,0,2,1,0
0,3,1,10,7.8958,2,2,0,1
1,1,1,50,35.5,0,4,0,1
0,3,1,20,7.55,2,2,0,1
1,3,0,20,7.55,2,1,0,1
0,3,1,20,7.8958,2,2,0,1
1,2,0,10,23.0,2,1,1,0
0,3,1,20,8.4333,2,2,0,1
1,3,0,20,7.8292,1,1,0,1
0,3,0,10,6.75,1,1,0,1
0,2,1,20,73.5,2,2,2,0
0,3,1,20,7.8958,2,2,0,1
0,3,0,30,15.5,1,3,2,0
0,2,1,20,13.0,2,2,0,1
0,1,1,50,113.275,0,2,2,0
1,1,1,40,133.65,2,4,2,0
0,3,1,30,7.225,0,2,0,1
0,1,1,40,25.5875,2,2,0,1
0,3,1,30,7.4958,2,2,0,1
1,3,1,10,7.925,2,2,1,0
0,2,1,30,73.5,2,2,2,0
0,2,1,20,13.0,2,2,0,1
0,3,1,20,7.775,2,2,0,1
0,3,1,40,8.05,2,2,0,1
1,1,0,20,52.0,2,3,1,0
1,2,0,30,39.0,2,3,2,0
0,1,1,30,52.0,2,2,1,0
0,2,1,60,10.5,2,2,0,1
1,2,1,30,13.0,2,2,0,1
0,2,1,20,0.0,2,2,0,1
0,3,1,10,7.775,2,2,0,1
0,3,1,20,8.05,2,2,0,1
1,3,0,10,9.8417,2,1,0,1
0,3,0,40,46.9,2,3,7,0
1,1,1,30,512.3292,0,2,1,0
0,3,0,20,8.1375,1,1,0,1
1,1,1,20,76.7292,0,2,0,1
0,3,1,10,9.225,2,2,0,1
0,3,1,10,46.9,2,2,7,0
0,2,1,50,39.0,2,2,2,0
0,2,1,20,41.5792,0,2,3,0
0,3,1,10,39.6875,2,2,5,0
0,3,1,10,10.1708,2,2,0,1
0,3,1,10,7.7958,2,2,0,1
1,1,0,10,211.3375,2,1,1,0
1,1,1,30,57.0,2,2,1,0
1,3,0,0,13.4167,0,1,1,0
1,3,1,20,56.4958,2,2,0,1
0,3,1,20,7.225,0,2,0,1
0,1,1,50,26.55,2,4,0,1
0,2,1,50,13.5,2,2,0,1
0,3,1,40,8.05,2,2,0,1
1,3,0,20,7.7333,1,1,0,1
0,1,1,40,110.8833,0,2,2,0
0,3,1,40,7.65,2,2,0,1
1,1,0,10,227.525,0,3,1,0
1,1,1,30,26.2875,2,2,0,1
0,3,0,10,14.4542,0,1,1,0
0,3,1,20,7.7417,1,2,0,1
0,3,1,20,7.8542,2,2,1,0
0,2,1,30,26.0,2,2,0,1
1,2,0,40,13.5,2,3,0,1
1,1,1,40,26.2875,2,2,0,1
1,1,0,20,151.55,2,1,0,1
1,3,1,20,15.2458,0,0,2,0
1,1,0,20,49.5042,0,4,0,1
0,1,1,20,26.55,2,2,0,1
1,1,1,40,52.0,2,2,1,0
0,3,1,20,9.4833,2,2,0,1
0,2,1,50,13.0,2,2,0,1
0,3,1,10,7.65,2,2,0,1
1,1,0,30,227.525,0,1,0,1
1,2,0,20,10.5,2,1,0,1
0,3,1,20,15.5,1,2,0,1
0,3,1,30,7.775,2,2,0,1
1,2,0,0,33.0,2,1,1,0
0,3,1,10,7.0542,2,2,1,0
0,2,1,30,13.0,2,2,0,1
0,2,1,40,13.0,2,2,0,1
1,1,1,20,53.1,2,2,1,0
0,3,1,10,8.6625,2,2,0,1
1,2,0,20,21.0,2,3,3,0
1,3,0,20,7.7375,1,1,0,1
0,2,1,20,26.0,2,2,1,0
0,3,0,20,7.925,2,1,1,0
1,1,0,20,211.3375,2,1,0,1
0,3,1,10,18.7875,0,2,0,1
0,2,1,20,0.0,2,2,0,1
0,2,1,20,13.0,2,2,0,1
0,2,1,20,13.0,2,2,0,1
0,3,1,20,16.1,2,2,0,1
0,3,0,40,34.375,2,3,4,0
1,1,1,30,512.3292,0,2,0,1
0,3,1,20,7.8958,2,2,0,1
0,3,1,20,7.8958,2,2,0,1
1,1,1,20,30.0,2,2,0,1
0,1,1,30,78.85,2,2,1,0
1,1,0,20,262.375,0,1,4,0
0,3,1,20,16.1,2,2,1,0
1,3,1,30,7.925,2,2,0,1
0,1,1,60,71.0,2,4,2,0
0,3,1,10,20.25,2,2,2,0
1,2,0,20,13.0,2,1,0,1
0,1,1,10,53.1,2,2,1,0
0,3,1,30,7.75,1,2,0,1
1,2,0,0,23.0,2,1,2,0
1,3,1,0,12.475,2,0,1,0
0,3,1,30,9.5,2,2,0,1
0,3,1,20,7.8958,2,2,0,1
1,2,0,40,65.0,2,3,3,0
1,2,1,0,14.5,2,0,2,0
0,3,1,20,7.7958,2,2,0,1
0,2,1,10,11.5,2,2,0,1
0,3,1,30,8.05,2,2,0,1
1,1,0,30,86.5,2,4,0,1
0,3,1,20,14.5,2,2,0,1
0,3,1,40,7.125,2,2,0,1
1,3,1,10,7.2292,0,2,0,1
1,1,0,30,120.0,2,3,3,0
0,3,1,10,7.775,2,2,0,1
1,1,0,50,77.9583,2,3,1,0
0,1,1,20,39.6,0,4,0,1
0,3,0,30,7.75,1,1,0,1
0,3,1,20,24.15,1,2,1,0
0,3,1,30,8.3625,2,2,0,1
0,3,1,20,9.5,2,2,0,1
0,3,1,40,7.8542,2,2,0,1
0,2,0,50,10.5,2,3,0,1
0,3,1,20,7.225,0,2,0,1
1,2,0,50,23.0,2,3,4,0
0,3,1,10,7.75,2,2,0,1
0,3,1,20,7.75,1,2,0,1
1,3,0,0,12.475,2,1,0,1
0,3,1,20,7.7375,1,2,0,1
1,1,0,40,211.3375,2,3,1,0
1,3,0,10,7.2292,0,1,0,1
1,1,0,10,57.0,2,3,1,0
0,1,1,20,30.0,2,2,0,1
0,3,1,20,23.45,2,2,3,0
0,3,1,20,7.05,2,2,0,1
0,3,1,20,7.25,2,2,0,1
1,3,0,10,7.4958,2,1,0,1
0,3,1,0,29.125,1,0,5,0
1,3,1,0,20.575,2,0,3,0
0,1,1,40,79.2,0,2,0,1
0,3,1,20,7.75,1,2,0,1
0,2,1,10,26.0,2,2,0,1
0,3,0,20,69.55,2,1,10,0
0,1,1,20,30.6958,0,2,0,1
0,3,1,20,7.8958,2,2,0,1
0,2,1,30,13.0,2,2,0,1
1,1,0,40,25.9292,2,4,0,1
1,3,0,30,8.6833,2,3,0,1
0,3,1,20,7.2292,0,2,0,1
0,3,0,20,24.15,2,3,2,0
0,2,1,30,13.0,2,2,0,1
1,2,0,30,26.25,2,3,2,0
1,1,1,10,120.0,2,0,3,0
1,3,1,0,8.5167,0,0,1,0
1,3,1,20,6.975,2,2,0,1
0,3,1,30,7.775,2,2,0,1
0,1,1,30,0.0,2,2,0,1
0,3,0,10,7.775,2,1,0,1
0,2,1,30,13.0,2,2,0,1
1,1,0,30,53.1,2,3,1,0
0,3,1,20,7.8875,2,2,0,1
0,3,1,30,24.15,2,2,0,1
0,2,1,30,10.5,2,2,0,1
0,3,0,0,31.275,2,1,6,0
0,3,1,30,8.05,2,2,0,1
0,1,1,20,0.0,2,2,0,1
0,3,0,20,7.925,2,1,0,1
0,2,1,30,37.0042,0,2,2,0
0,3,1,40,6.45,2,2,0,1
0,3,1,0,27.9,2,0,5,0
1,1,0,50,93.5,2,3,2,0
1,3,1,20,8.6625,2,2,0,1
0,1,1,30,0.0,2,4,0,1
1,3,0,20,12.475,2,3,1,0
0,3,1,0,39.6875,2,0,5,0
0,3,1,20,6.95,1,2,0,1
0,3,1,20,56.4958,2,2,0,1
1,2,1,0,37.0042,0,0,2,0
1,3,1,20,7.75,1,2,0,1
1,1,0,60,80.0,2,3,0,1
1,3,0,10,14.4542,0,3,1,0
1,2,1,0,18.75,2,0,2,0
0,3,1,20,7.2292,0,2,0,1
0,3,1,20,7.8542,2,2,0,1
0,3,1,10,8.3,2,2,0,1
1,1,0,30,83.1583,0,1,2,0
0,3,1,20,8.6625,2,2,0,1
0,3,1,20,8.05,2,2,0,1
1,3,1,30,56.4958,2,2,0,1
1,1,1,20,29.7,0,2,0,1
0,3,1,10,7.925,2,2,0,1
0,2,1,10,10.5,2,2,0,1
1,1,0,20,31.0,0,1,0,1
0,3,1,30,6.4375,0,2,0,1
0,3,1,10,8.6625,2,2,0,1
0,3,1,40,7.55,2,2,0,1
0,3,1,20,69.55,2,2,10,0
0,3,1,30,7.8958,0,2,0,1
0,2,1,20,33.0,2,4,1,0
1,1,0,20,89.1042,0,3,1,0
0,3,1,0,31.275,2,0,6,0
0,3,1,70,7.775,2,2,0,1
0,3,0,0,15.2458,0,1,2,0
1,1,0,10,39.4,2,1,1,0
0,2,0,40,26.0,2,3,1,0
1,3,0,10,9.35,2,3,1,0
1,1,0,40,164.8667,2,3,2,0
1,1,1,50,26.55,2,2,0,1
1,3,0,20,19.2583,0,3,3,0
0,3,1,20,7.2292,0,2,0,1
0,3,1,40,14.1083,2,2,2,0
0,2,1,20,11.5,2,2,1,0
1,1,0,40,25.9292,2,3,0,1
0,3,0,20,69.55,2,1,10,0
0,2,1,20,13.0,2,2,0,1
1,2,0,40,13.0,2,3,0,1
1,2,0,20,13.8583,0,1,1,0
0,1,1,30,50.4958,2,2,0,1
0,3,1,20,9.5,2,2,0,1
1,3,1,0,11.1333,2,0,2,0
0,3,1,20,7.8958,2,2,0,1
1,1,0,40,52.5542,2,3,2,0
